City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Yenagoa,NG,4.9247,6.2642,73.74,94,84,4.07,broken clouds
207,Derzhavinsk,KZ,51.1,66.3167,66.65,79,100,13.67,overcast clouds
208,Ostrovnoy,RU,68.0531,39.5131,39.83,97,100,10.83,overcast clouds
209,Gao,ML,16.6362,1.637,97.18,21,71,5.1,broken clouds
210,Nanortalik,GL,60.1432,-45.2371,40.78,99,100,8.23,light rain
211,Teixeira,BR,-7.2228,-37.2542,68.58,83,96,7.14,overcast clouds
212,Willowmore,ZA,-33.2926,23.4895,43.95,82,76,5.08,broken clouds
213,Kaeo,NZ,-35.1,173.7833,55.27,90,100,19.75,moderate rain
214,Dimitrovgrad,RU,54.2139,49.6184,59.41,77,100,7.36,overcast clouds
215,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,20,8.05,few clouds
216,Aksarka,RU,66.5606,67.7975,58.89,90,93,5.53,overcast clouds
217,Pascagoula,US,30.3658,-88.5561,96.73,47,0,3.36,clear sky
218,Kahului,US,20.8947,-156.47,83.84,71,4,15.01,clear sky
219,Umm Lajj,SA,25.0213,37.2685,85.1,56,0,8.14,clear sky
220,Vagur,FO,61.4732,-6.8119,49.03,92,80,15.7,broken clouds
221,Kargasok,RU,59.0556,80.8572,57.2,90,36,1.03,scattered clouds
222,Kupang,ID,-10.1667,123.5833,75.85,78,100,10.49,overcast clouds
223,Tuatapere,NZ,-46.1333,167.6833,44.87,90,100,3.6,overcast clouds
224,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,94,100,19.57,overcast clouds
225,Ankara,TR,39.9199,32.8543,68.2,58,0,3.0,clear sky
226,Salinopolis,BR,-0.6136,-47.3561,78.46,87,88,10.42,overcast clouds
227,Kishi,NG,9.0833,3.85,73.44,92,69,5.93,broken clouds
228,Kodinar,IN,20.7903,70.7031,84.0,79,99,13.73,overcast clouds
229,Kaitangata,NZ,-46.2817,169.8464,43.41,92,100,2.91,overcast clouds
230,Makakilo City,US,21.3469,-158.0858,82.18,55,40,14.97,scattered clouds
231,Buchanan,LR,5.8808,-10.0467,77.56,74,9,6.38,clear sky
232,Itarema,BR,-2.9248,-39.9167,79.14,81,28,14.67,scattered clouds
233,Natal,BR,-5.795,-35.2094,84.42,74,20,13.8,few clouds
234,Jalu,LY,29.0331,21.5482,85.28,25,0,7.49,clear sky
235,Kautokeino,NO,69.0125,23.0412,46.96,80,68,3.58,broken clouds
236,Bonavista,CA,48.6499,-53.1147,55.47,85,100,16.87,overcast clouds
237,Qaanaaq,GL,77.484,-69.3632,37.26,79,35,3.2,scattered clouds
238,Acajutla,SV,13.5928,-89.8275,82.36,77,82,9.71,broken clouds
239,Komsomolskiy,UZ,40.4272,71.7189,79.52,25,96,11.5,overcast clouds
240,Zatoka,UA,46.0725,30.4654,69.44,66,0,3.27,clear sky
241,Leningradskiy,RU,69.3833,178.4167,52.43,63,49,2.46,scattered clouds
242,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,56,0,5.75,clear sky
243,Bowling Green,US,36.9903,-86.4436,83.14,38,0,9.26,clear sky
244,San Cristobal,VE,7.7669,-72.225,75.38,72,100,5.12,overcast clouds
245,Liverpool,GB,53.4106,-2.9779,61.34,72,20,9.22,few clouds
246,Jambi,ID,-1.6,103.6167,73.56,99,99,2.57,overcast clouds
247,Margate,GB,51.3813,1.3862,58.87,77,100,7.0,overcast clouds
248,Tromso,NO,69.6496,18.957,49.37,81,75,4.61,broken clouds
249,Batsfjord,NO,70.6345,29.7185,42.73,93,75,6.91,broken clouds
250,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,81,75,16.11,broken clouds
251,Belyy Yar,RU,53.6039,91.3903,53.49,87,0,0.0,clear sky
252,Saurimo,AO,-9.6608,20.3916,63.28,39,86,2.35,overcast clouds
253,Cabo San Lucas,MX,22.8909,-109.9124,92.61,70,92,3.0,overcast clouds
254,Disna,BY,55.568,28.1971,52.11,97,100,4.05,light rain
255,Fairbanks,US,64.8378,-147.7164,68.09,63,0,5.75,clear sky
256,Airai,TL,-8.9266,125.4092,54.61,78,96,2.8,overcast clouds
257,Prescott,US,34.54,-112.4685,83.95,14,0,7.0,clear sky
258,Tara,RU,56.8944,74.371,59.38,92,14,3.85,few clouds
259,Yuksekova,TR,37.5736,44.2872,62.24,44,0,1.3,clear sky
260,Mareeba,AU,-17.0,145.4333,65.12,98,8,1.95,clear sky
261,Mendoza,AR,-32.8908,-68.8272,63.93,25,0,6.55,clear sky
262,Zhoucheng,CN,35.9122,116.3117,79.29,60,2,5.93,clear sky
263,Buin,CL,-33.7333,-70.75,60.73,40,100,2.91,overcast clouds
264,Setermoen,NO,68.861,18.3486,53.11,73,99,3.15,overcast clouds
265,Buala,SB,-8.145,159.5921,80.15,81,69,4.63,light rain
266,Nanganga,TZ,-10.3833,39.15,63.14,91,4,2.84,clear sky
267,Yerbogachen,RU,61.2767,108.0108,53.22,74,100,12.1,overcast clouds
268,Kruisfontein,ZA,-34.0033,24.7314,46.89,83,36,7.02,scattered clouds
269,Nanakuli,US,21.3906,-158.1547,83.61,61,30,9.46,scattered clouds
270,Vardo,NO,70.3705,31.1107,42.78,93,100,9.22,overcast clouds
271,Shizunai,JP,42.3339,142.3669,59.18,99,97,5.93,moderate rain
272,Acevedo,CO,1.8361,-75.855,69.01,83,87,2.33,overcast clouds
273,Ankazoabo,MG,-22.2833,44.5167,59.95,65,0,5.46,clear sky
274,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,78.66,84,100,3.0,overcast clouds
275,Palu,ID,-0.8917,119.8707,75.22,95,100,3.02,overcast clouds
276,Cassilandia,BR,-19.1133,-51.7342,73.2,66,25,4.03,scattered clouds
277,Talnakh,RU,69.4865,88.3972,51.21,42,71,2.73,broken clouds
278,Haines Junction,CA,60.7522,-137.5108,59.09,47,33,9.48,scattered clouds
279,Grand-Santi,GF,4.25,-54.3833,75.18,97,100,3.24,moderate rain
280,Viedma,AR,-40.8135,-62.9967,42.62,57,6,6.26,clear sky
281,Bengkulu,ID,-3.8004,102.2655,74.39,91,100,4.07,overcast clouds
282,Katsuura,JP,35.1333,140.3,72.3,93,100,15.93,overcast clouds
283,San Quintin,MX,30.4833,-115.95,70.29,57,0,16.35,clear sky
284,Mbigou,GA,-1.9005,11.906,68.72,81,92,3.04,overcast clouds
285,Westport,US,41.1415,-73.3579,74.28,37,6,8.99,clear sky
286,Diego De Almagro,CL,-26.3667,-70.05,68.11,23,0,7.05,clear sky
287,Igarka,RU,67.4667,86.5833,55.27,47,49,7.36,scattered clouds
288,Tura,IN,25.5198,90.2201,72.32,99,99,4.83,moderate rain
289,Timra,SE,62.487,17.3257,53.28,94,0,4.61,clear sky
290,Henties Bay,NA,-22.116,14.2845,54.54,90,0,2.73,clear sky
291,Mao,ES,39.8885,4.2658,75.76,78,0,12.66,clear sky
292,Touros,BR,-5.1989,-35.4608,78.17,75,44,11.56,scattered clouds
293,Dingle,PH,10.9995,122.6711,76.75,87,100,2.86,overcast clouds
294,Adrar,MR,20.5022,-10.0711,87.85,40,82,2.86,light rain
295,Moron,AR,-34.6534,-58.6198,60.01,39,57,3.69,broken clouds
296,Abha,SA,18.2164,42.5053,70.45,55,97,4.27,overcast clouds
297,Sovetskiy,RU,61.3614,63.5842,57.78,91,93,2.84,overcast clouds
298,Okha,RU,53.5739,142.9478,49.05,86,98,6.35,overcast clouds
299,Santa Rosa,PH,14.3122,121.1114,79.11,86,24,3.96,few clouds
300,Matelandia,BR,-25.2408,-53.9964,56.34,88,75,2.95,broken clouds
301,Brest,BY,52.1,23.7,72.41,56,9,12.24,clear sky
302,Teguldet,RU,57.3064,88.1667,52.93,97,28,0.72,scattered clouds
303,Fortuna,US,40.5982,-124.1573,66.92,65,75,5.99,broken clouds
304,Koson,UZ,39.0375,65.585,77.32,37,60,8.79,broken clouds
305,Narsaq,GL,60.9167,-46.05,50.22,97,100,2.53,light rain
306,Kabarnet,KE,0.4919,35.743,56.34,86,99,2.37,overcast clouds
307,Kawalu,ID,-7.3817,108.2082,71.01,98,99,1.03,moderate rain
308,Mackenzie,CA,55.2999,-123.1698,66.42,55,20,3.44,few clouds
309,Drayton Valley,CA,53.2168,-114.9854,63.27,67,65,4.5,broken clouds
310,Taoudenni,ML,22.6783,-3.9836,95.45,24,65,8.79,broken clouds
311,Atambua,ID,-9.1061,124.8925,69.31,88,67,6.73,broken clouds
312,Nouadhibou,MR,20.931,-17.0347,68.52,90,49,8.21,scattered clouds
313,Kangaatsiaq,GL,68.3065,-53.4641,35.35,89,16,11.7,few clouds
314,Asau,RO,46.4333,26.4,61.72,70,0,3.71,clear sky
315,Puerto Leguizamo,CO,-0.1934,-74.7819,77.27,93,51,2.48,broken clouds
316,Ust-Ilimsk,RU,58.0006,102.6619,55.98,96,100,0.51,light rain
317,Phan Thiet,VN,10.9333,108.1,77.41,91,29,4.61,scattered clouds
318,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,77,47,14.34,scattered clouds
319,Bosaso,SO,11.2842,49.1816,95.36,34,100,17.31,overcast clouds
320,Lyuban,BY,52.7985,28.0048,69.31,75,3,13.31,clear sky
321,Carnarvon,AU,-24.8667,113.6333,64.63,72,0,12.88,clear sky
322,Muncar,ID,-8.4333,114.3333,76.24,91,96,3.47,overcast clouds
323,Lokhvytsya,UA,50.3678,33.2602,64.06,73,7,8.03,clear sky
324,Penukonda,IN,14.0833,77.5833,74.95,76,100,12.86,heavy intensity rain
325,Salina,US,38.8403,-97.6114,97.3,36,40,20.71,scattered clouds
326,Dukat,RU,62.55,155.55,50.16,68,21,6.2,few clouds
327,Atar,MR,20.5169,-13.0499,86.36,44,94,0.16,overcast clouds
328,Linhares,BR,-19.3911,-40.0722,69.49,88,32,8.37,scattered clouds
329,Harbin,CN,45.75,126.65,67.96,77,100,8.23,overcast clouds
330,Vestmannaeyjar,IS,63.4427,-20.2734,49.95,97,100,18.54,overcast clouds
331,Yanam,IN,16.7333,82.2167,81.36,84,100,3.8,overcast clouds
332,Sinnamary,GF,5.3833,-52.95,79.0,84,100,7.2,overcast clouds
333,Port Macquarie,AU,-31.4333,152.9167,55.29,94,75,6.91,broken clouds
334,Roald,NO,62.5833,6.1333,57.16,87,20,11.5,few clouds
335,Zhanaozen,KZ,43.3,52.8,75.38,30,11,8.84,few clouds
336,Aleksandrov Gay,RU,50.147,48.5704,65.82,65,72,7.96,broken clouds
