City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Sabara,BR,2022-06-18 19:16:31,-19.8864,-43.8067,77.22,42,0,9.22
232,Port Elizabeth,ZA,2022-06-18 19:11:04,-33.918,25.5701,58.1,92,100,1.99
233,Petukhovo,RU,2022-06-18 19:18:38,55.0692,67.9019,61.56,70,14,7.81
234,Ampanihy,MG,2022-06-18 19:19:38,-24.7,44.75,60.17,75,0,6.29
235,Yerazgavors,AM,2022-06-18 19:19:39,40.7,43.75,59.77,67,2,2.3
236,Lorengau,PG,2022-06-18 19:19:39,-2.0226,147.2712,79.9,74,10,10.51
237,Sao Joao Da Barra,BR,2022-06-18 19:19:40,-21.6403,-41.0511,80.69,55,0,14.83
238,Mehamn,NO,2022-06-18 19:19:40,71.0357,27.8492,42.75,81,100,10.36
239,Lasa,IT,2022-06-18 19:19:40,46.6166,10.7002,79.68,81,10,3.15
240,Bambous Virieux,MU,2022-06-18 19:12:16,-20.3428,57.7575,69.22,78,13,4.92
241,Souillac,MU,2022-06-18 19:12:17,-20.5167,57.5167,71.56,83,15,4.03
242,Bengkulu,ID,2022-06-18 19:19:41,-3.8004,102.2655,75.51,90,63,3.09
243,Sedalia,US,2022-06-18 19:19:42,38.7045,-93.2283,90.75,48,75,9.22
244,Tautira,PF,2022-06-18 19:19:42,-17.7333,-149.15,77.49,81,22,17.29
245,Kudahuvadhoo,MV,2022-06-18 19:19:42,2.6708,72.8944,83.03,75,30,11.03
246,Bagdarin,RU,2022-06-18 19:19:43,54.4333,113.6,54.32,91,100,0.83
247,Pouebo,NC,2022-06-18 19:19:43,-20.4,164.5667,72.46,88,100,4.16
248,Skjervoy,NO,2022-06-18 19:19:43,70.0311,20.9714,57.2,74,6,9.95
249,Margate,GB,2022-06-18 19:10:56,51.3813,1.3862,61.3,81,97,13.0
250,Mount Gambier,AU,2022-06-18 19:19:44,-37.8333,140.7667,43.84,87,100,8.16
251,Ixtapa,MX,2022-06-18 19:19:44,20.7,-105.2,88.23,70,75,8.05
252,Portland,US,2022-06-18 19:15:04,45.5234,-122.6762,61.48,81,75,4.61
253,Bayshore Gardens,US,2022-06-18 19:19:44,27.4253,-82.5904,95.99,59,20,18.41
254,Asau,RO,2022-06-18 19:15:42,46.4333,26.4,61.29,77,4,4.7
255,Smirnykh,RU,2022-06-18 19:19:45,49.75,142.8333,48.16,96,100,4.59
256,Saint-Augustin,CA,2022-06-18 19:14:47,51.226,-58.6502,51.67,99,100,7.94
257,Corn Island,NI,2022-06-18 19:19:45,12.1694,-83.0418,81.43,78,100,8.5
258,Faanui,PF,2022-06-18 19:19:46,-16.4833,-151.75,79.56,76,11,19.8
259,Fort Nelson,CA,2022-06-18 19:19:46,58.8053,-122.7002,63.99,68,75,2.3
260,Neiafu,TO,2022-06-18 19:19:46,-18.65,-173.9833,79.48,73,40,13.8
261,Yerbogachen,RU,2022-06-18 19:19:47,61.2767,108.0108,60.22,55,100,5.73
262,Muzhi,RU,2022-06-18 19:19:47,65.3667,64.6667,62.01,78,100,3.04
263,Plettenberg Bay,ZA,2022-06-18 19:19:47,-34.0527,23.3716,54.79,87,10,8.43
264,Lamlash,GB,2022-06-18 19:19:48,55.5336,-5.1296,55.36,80,8,20.69
265,Mackay,AU,2022-06-18 19:17:37,-21.15,149.2,49.68,65,0,11.86
266,Ginir,ET,2022-06-18 19:19:48,7.1333,40.7,55.67,86,6,5.97
267,Mayo,US,2022-06-18 19:19:49,38.8876,-76.5119,76.03,55,100,18.41
268,Racine,US,2022-06-18 19:18:32,42.7495,-88.0751,72.21,42,6,5.75
269,Guerrero Negro,MX,2022-06-18 19:19:49,27.9769,-114.0611,73.09,57,0,13.53
270,Teodoro Sampaio,BR,2022-06-18 19:19:50,-22.5325,-52.1675,68.32,46,0,6.69
271,Hit,IQ,2022-06-18 19:19:50,33.6416,42.8251,101.61,12,0,6.15
272,Provideniya,RU,2022-06-18 19:19:50,64.3833,-173.3,54.19,47,12,3.85
273,Cairns,AU,2022-06-18 19:19:51,-16.9167,145.7667,67.95,73,20,9.22
274,Batagay-Alyta,RU,2022-06-18 19:19:51,67.8006,130.4114,58.68,44,100,7.52
275,Brigantine,US,2022-06-18 19:19:52,39.4101,-74.3646,73.6,54,75,18.41
276,Adre,TD,2022-06-18 19:19:52,13.4667,22.2,88.16,30,100,7.99
277,Ambilobe,MG,2022-06-18 19:19:52,-13.2,49.05,69.6,88,1,2.77
278,Saint-Pierre,RE,2022-06-18 19:19:53,-21.3393,55.4781,67.91,77,75,8.05
279,Pevek,RU,2022-06-18 19:19:53,69.7008,170.3133,34.48,84,100,3.94
280,Taitung,TW,2022-06-18 19:19:54,22.7583,121.1444,81.93,66,73,3.42
281,Kirakira,SB,2022-06-18 19:20:54,-10.4544,161.9205,78.35,85,99,7.61
282,Bilma,NE,2022-06-18 19:20:54,18.6853,12.9164,94.71,10,0,11.45
283,Sungaipenuh,ID,2022-06-18 19:20:55,-2.0833,101.3833,63.68,97,96,2.51
284,San Cristobal,VE,2022-06-18 19:17:23,7.7669,-72.225,80.78,53,19,7.96
285,Ust-Kuyga,RU,2022-06-18 19:20:55,70.0167,135.6,58.44,53,100,12.17
286,Fortuna,US,2022-06-18 19:17:43,40.5982,-124.1573,65.93,62,40,12.66
